LQFP64,LQFP100,,USART1_TX,USART1_RX,USART2_TX,USART2_RX,USART3_TX,USART3_RX,USART4_TX,USART4_RX,,,,,,,,,,,,,,,,,CAN1,CAN1,CAN2,CAN2
,,,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12, , ,,
,,,TX,RX,TX,RX,TX,RX,TX,RX,TX,RX,TX,RX,TX,RX,TX,RX,,,,,TX,RX,,,TX,RX,TX,RX
14,23,PA00,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
15,24,PA01,,,,,,,,*,,,,,,,,,,,,,,,,,,,,
16,25,PA02,,,*,,,,,,,,,,,,,,,,,,,,,,,,,
17,26,PA03,,,,*,,,,,,,,,,,,,,,,,,,,,,,,
22,31,PA06,,,,,,,,,,,,,,,,,,,,,*,,,,,,,
23,32,PA07,,,,,,,,,,,,,,,,,,,,,,*,,,,,,
41,67,PA08,,,,,,,,,,,,,,*,,,,,,,,,,,,,,
42,,PA09,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,PA10,,*,,,,,,,,,,,,,,,,,,,,,,,,,*,
44,70,PA11,,,,,,,,* ,,,,,,,,,,,,,,,,,,*,,
45,71,PA12,,,,,,,*,,,,,,,,,,,,,,,,,,*,,,
50,77,PA15,,,,,,,,,,,,,*,,,,,,,,,,,,,,,
55,89,PB03,,,,,,,,,,,,,,*,,,,,,,,,,,,,,
56,90,PB04,,,,,,,,,,,,,*,,,,,,,,,,,,,,,
57,91,PB05,,,,,,,,,,*,,,,,,,,,,,,,,,,,,*
58,92,PB06,*,,,,,,,,*,,,,,,,,,,,,,,,,,,*,
59,,PB07,,*,,,,,,,,,,,,,,,,,,,,,,,*,,,
61,59,PB08,,,,,,,,*,,,,,,,,,,,,,,,,,,*,,
,96,PB09,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
29,,PB10,,,,,*,,,,,,,,,,,,,,,,,,,,,,,
33,51,PB12,,,,,,, ,,,*,,,,,,,,,,,,,,,,,,*
34,52,PB13,,,,,,,,,*,,,,,,,,,,,,,,,,,,*,
35,,PB14,*,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,54,PB15,,*,,,,,,,,*,,,,,,,,,,,,,,,,,,
24,33,PC04,,,,,,*,,,,,,,,,,,,,,,,,,,,,,
37,63,PC06,,,,,,,,,,,*,,,,,,,,,,,,,,,,,
38,64,PC07,,,,,,,,,,,,*,,,,,,,,,,,,,,,,
51,78,PC10,,,,,*,,*,,,,,,,,,,,,,,,,,,,,,
52,79,PC11,,,,,,*,,*,,,,,,,,,,,,,,,,,,,,
53,80,PC12,,,,,,,,,*,,,,,,,,,,,,,,,,,,,
,81,PD0,,,,,,,,*,,,,,,,,,,,,,,,,,,,,
,82,PD01,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
54,83,PD02,,,,,,,,,,*,,,,,,,,,,,,,,,,,,
,68,PD05,,,*,,,,,,,,,,,,,,,,,,,,,,,,,
,87,PD06,,,,*,,,,,,,,,,,,,,,,,,,,,,,,
,55,PD08,,,,,*,,,,,,,,,,,,,,,,,,,,,,,
,56,PD09,,,,,,*,,,,,,,,,,,,,,,,,,,,,,
,58,PD11,,,,,,,,*,,,,,,,,,,,,,,,,,,,,
,61,PD12,,,,,,,*,,,,,,,,,,,,,,,,,,,,,
,62,PD15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97,PE00,,,,,,,,,,,,,,,,*,,,,,,,,,,,,
 ,1,PE02,,,,,,,,,,,,,,,*,,,,,,,,,,,,,
,2,PE03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,38,PE07,,,,,,,,,,,,,,*,,,,,,,,,,,,,,
,39,PE08,,,,,,,,,,,,,*,,,,,,,,,,,,,,,
,40,PE09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
